policyUpi,policyId,policyType,cloudType,severity,name,description,searchModel.query
PC-AWS-DAX-1232,e8980325-125e-4bcd-a0c8-68838ddab811,config,aws,informational,AWS DAX cluster not configured with encryption at rest,"This policy identifies the AWS DAX cluster where encryption at rest is disabled.  AWS DAX cluster encryption at rest provides an additional layer of data protection, helping secure your data from unauthorized access to underlying storage. Without encryption, anyone with access to the storage media could potentially intercept and view the data.  It is recommended to enable encryption at rest for the AWS DAX cluster.","config from cloud.resource where cloud.type = 'aws' AND api.name = 'aws-dax-cluster' AND json.rule = Status equals ""available"" and SSEDescription.Status equals ""DISABLED"""
PC-AWS-DYN-365,e1322a56-1172-4034-a793-300c062b66d2,config,aws,informational,AWS DynamoDB encrypted using AWS owned CMK instead of AWS managed CMK,"This policy identifies the DynamoDB tables that use AWS owned CMK (default ) instead of AWS managed CMK (KMS ) to encrypt data. AWS managed CMK provide additional features such as the ability to view the CMK and key policy, and audit the encryption and decryption of DynamoDB tables.",config from cloud.resource where cloud.type = 'aws' AND api.name = 'aws-dynamodb-describe-table' AND json.rule =  'ssedescription does not exist or (ssedescription exists and ssedescription.ssetype == AES256)'
PC-AWS-S3-30,4daa435b-fa46-457a-9359-6a4b4a43a442,config,aws,informational,AWS Access logging not enabled on S3 buckets,Checks for S3 buckets without access logging turned on. Access logging allows customers to view complete audit trail on sensitive workloads such as S3 buckets. It is recommended that Access logging is turned on for all S3 buckets to meet audit & compliance requirement,config from cloud.resource where cloud.type = 'aws' AND api.name='aws-s3api-get-bucket-acl' AND json.rule='loggingConfiguration.targetBucket equals null or loggingConfiguration.targetPrefix equals null'
PC-AWS-DOC-914,95cc1059-dc20-4b91-9f05-63af346947b5,config,aws,informational,AWS DocumentDB cluster deletion protection is disabled,This policy identifies AWS DocumentDB clusters for which deletion protection is disabled. Enabling deletion protection for DocumentDB clusters prevents irreversible data loss resulting from accidental or malicious operations.,config from cloud.resource where cloud.type = 'aws' AND api.name= 'aws-docdb-db-cluster' AND json.rule = Status contains available and DeletionProtection is false
PC-AWS-ACM-169,01740791-ebd5-417a-bbfe-e1fdfc322dcc,config,aws,informational,AWS Certificate Manager (ACM) contains certificate pending validation,"This policy identifies invalid certificates which are in AWS Certificate Manager. When your Amazon ACM certificates are not validated within 72 hours after the request is made, those certificates become invalid and you will have to request new certificates, which could cause interruption to your applications or services. Though AWS Certificate Manager automatically renews certificates issued by the service that is used with other AWS resources. However, the ACM service does not automatically renew certificates that are not currently in use or not associated anymore with other AWS resources. So the renewal process including validation must be done manually before these certificates become invalid.",config from cloud.resource where cloud.type = 'aws' AND api.name = 'aws-acm-describe-certificate' AND json.rule =  'status contains PENDING_VALIDATION'
PC-AWS-DMS-638,e1539f4f-7c9b-47bb-b3d5-9660f4ed0cda,config,aws,low,AWS Database Migration Service (DMS) has expired certificates,"This policy identifies expired certificates that are in AWS Database Migration Service (DMS). AWS Database Migration Service (DMS) Certificate service is the preferred tool to provision, manage, and deploy your DMS endpoint certificates. As a best practice, it is recommended to delete expired certificates.  For more details: https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Security.html#CHAP_Security.SSL.ManagingCerts",config from cloud.resource where cloud.type = 'aws' AND api.name = 'aws-dms-certificate' AND json.rule = '_DateTime.ageInDays(validToDate) > -1'
PC-AWS-IAM-6,88db4b66-4dec-48c0-9013-c7871d61b1c8,config,aws,high,AWS Access key enabled on root account,"This policy identifies root accounts for which access keys are enabled. Access keys are used to sign API requests to AWS. Root accounts have complete access to all your AWS services. If the access key for a root account is compromised, an unauthorized users will have complete access to your AWS account.",config from cloud.resource where cloud.type = 'aws' and api.name='aws-iam-get-account-summary' AND json.rule='not AccountAccessKeysPresent equals 0'
PC-AWS-CFG-296,75a95357-3a98-41b9-9367-5d00fb1ab5f1,config,aws,informational,AWS Config fails to deliver log files,"This policy identifies AWS Configs which are failing to deliver its log files to the specified S3 bucket. It happens when it doesn't have sufficient permissions to complete the operation. To deliver information to S3 bucket, AWS Config needs to assume an IAM role that manages the permissions required to access the designated S3 bucket.",config from cloud.resource where cloud.type = 'aws' AND api.name = 'aws-configservice-describe-configuration-recorders' AND json.rule = 'status.recording is true and status.lastStatus contains FAILURE'
PC-AWS-ASG-1053,897624ae-ff31-4270-bc71-1c8a36d84427,config,aws,medium,AWS Auto Scaling group launch configuration configured with Instance Metadata Service hop count greater than 1,"This policy identifies the autoscaling group launch configuration where the Instance Metadata Service network hops count is set to greater than 1. A launch configuration is an instance configuration template that an Auto Scaling group uses to launch EC2 instances. With the metadata response hop limit count for the IMDS greater than 1, the PUT response that contains the secret token can travel outside the EC2 instance. Only metadata with a limited hop count for all your EC2 instances is recommended.","config from cloud.resource where api.name = 'aws-ec2-autoscaling-launch-configuration' AND json.rule = metadataOptions.httpEndpoint exists and metadataOptions.httpEndpoint equals ""enabled"" and metadataOptions.httpPutResponseHopLimit greater than 1 as X; config from cloud.resource where api.name = 'aws-describe-auto-scaling-groups' as Y; filter ' $.X.launchConfigurationName equal ignore case $.Y.launchConfigurationName'; show X;"
PC-AWS-ACM-166,d1fae43a-5bb6-429a-945e-fec5e8d9c662,config,aws,low,AWS Certificate Manager (ACM) has expired certificates,"This policy identifies expired certificates which are in AWS Certificate Manager. AWS Certificate Manager (ACM) is the preferred tool to provision, manage, and deploy your server certificates. With ACM you can request a certificate or deploy an existing ACM or external certificate to AWS resources. This policy generates alerts if there are any expired ACM managed certificates. As a best practice, it is recommended to delete expired certificates.",config from cloud.resource where cloud.type = 'aws' AND api.name = 'aws-acm-describe-certificate' AND json.rule = '(_DateTime.ageInDays($.notAfter) > -1) and status equals EXPIRED'
